,title,price,rating,reviews,link,req
99,Футболка набор - 2 шт Import Store,1724,4.7,23253,https://www.wildberries.ru/catalog/291453483/detail.aspx,Футболка
100,Футболка с принтом фрагмента картины с ангелами ТВОЕ,673,4.8,2691,https://www.wildberries.ru/catalog/225016584/detail.aspx,Футболка
101,Футболка белая однотонная хлопок 100% Lyle & Scott,2899,4.8,931,https://www.wildberries.ru/catalog/172608413/detail.aspx,Футболка
102,Футболка с Дайвингом с принтом Макс-Экстрим,818,4.9,2635,https://www.wildberries.ru/catalog/3679914/detail.aspx,Футболка
103,Футболка оверсайз вязаная Турция однотонная DECHERT,2513,4.7,983,https://www.wildberries.ru/catalog/158384887/detail.aspx,Футболка
104,Футболка для девочки светящаяся в темноте CRIMSON CAT,642,4.9,2572,https://www.wildberries.ru/catalog/193705469/detail.aspx,Футболка
105,Футболка оверсайз opium y2k Nightmare by WD,1005,4.7,11115,https://www.wildberries.ru/catalog/171612187/detail.aspx,Футболка
106,Футболка мужская хлопок набор 3 штуки Cotton Care,908,4.8,1371,https://www.wildberries.ru/catalog/273719792/detail.aspx,Футболка
107,Футболка черная хлопковая UNIQUIRE,828,4.9,391,https://www.wildberries.ru/catalog/336299704/detail.aspx,Футболка
108,Футболка прямая с принтом TOM TAILOR,1161,4.8,41,https://www.wildberries.ru/catalog/337756813/detail.aspx,Футболка
109,Футболка хлопковая RAKURS4U,1426,4.7,764,https://www.wildberries.ru/catalog/296510765/detail.aspx,Футболка
110,Футболка оверсайз с принтом винтаж World Design,1005,4.7,11115,https://www.wildberries.ru/catalog/202539742/detail.aspx,Футболка
111,Футболка оверсайз opium y2k Earthy by WD,1005,4.7,12169,https://www.wildberries.ru/catalog/171808798/detail.aspx,Футболка
112,Футболка мужская однотонная плотная летняя хлопок хаки Lyle & Scott,2183,4.8,10031,https://www.wildberries.ru/catalog/40028351/detail.aspx,Футболка
113,Футболка оверсайз ТЕЛОДВИЖЕНИЯ,1165,4.8,130950,https://www.wildberries.ru/catalog/221519619/detail.aspx,Футболка
114,Футболка Хоккей с принтом с надписью Макс-Экстрим,764,4.9,1345,https://www.wildberries.ru/catalog/8271653/detail.aspx,Футболка
115,Футболка мужская однотонная плотная летняя хлопок серая Lyle & Scott,2340,4.8,10031,https://www.wildberries.ru/catalog/26188061/detail.aspx,Футболка
134,Футболка базовая хлопок однотонная ВС,293,4.8,98008,https://www.wildberries.ru/catalog/10302970/detail.aspx,Футболка
135,Футболка белая оверсайз y2k BOLD AIR,869,4.8,1544,https://www.wildberries.ru/catalog/316130719/detail.aspx,Футболка
136,Футболка однотонная хлопок Tims Team,1116,4.8,2135,https://www.wildberries.ru/catalog/159225437/detail.aspx,Футболка
137,Футболка оверсайз с принтом крик Ice Scream by WD,1005,4.7,12169,https://www.wildberries.ru/catalog/205858475/detail.aspx,Футболка
138,Футболка Варенка черная ассиметричная YOURBUNNY,1310,4.8,626,https://www.wildberries.ru/catalog/275040078/detail.aspx,Футболка
139,"Футболка мужская с принтом ""Че Гевара"" KRASAR",1700,4.9,257,https://www.wildberries.ru/catalog/2304772/detail.aspx,Футболка
140,Футболка мужская оверсайз хлопковая ТЕЛОДВИЖЕНИЯ,648,4.8,20633,https://www.wildberries.ru/catalog/256323193/detail.aspx,Футболка
141,Футболка аниме с принтом у2k оверсайз Y2KMood,1019,4.7,428,https://www.wildberries.ru/catalog/282246960/detail.aspx,Футболка
142,Футболка набор - 2 шт Import Store,1749,4.7,2112,https://www.wildberries.ru/catalog/291453481/detail.aspx,Футболка
143,Футболка трендовая оверсайз с принтом тупак tupac 2pac MIDNIGHT COMMUNITY,1160,4.7,163,https://www.wildberries.ru/catalog/275191760/detail.aspx,Футболка
144,Футболка детская с принтом ,424,4.8,965,https://www.wildberries.ru/catalog/343221206/detail.aspx,Футболка
145,Футболка хаки однотонная базовая без рисунка хлопок Макс-Экстрим,639,4.8,137796,https://www.wildberries.ru/catalog/10845175/detail.aspx,Футболка
146,Футболка оверсайз хлопок VILLI KETTU,1260,4.7,4399,https://www.wildberries.ru/catalog/139958016/detail.aspx,Футболка
